"query","search interest","increase percent"
"china protests foxconn",6,"Breakout"
"china zero covid protests",6,"Breakout"
"china zero covid",5,"Breakout"
"cnn china protests",3,"Breakout"
"zero covid policy",3,"Breakout"
"china protests white paper",3,"Breakout"
"white paper protests",2,"Breakout"
"china zero covid policy",2,"Breakout"
"urumqi",2,"Breakout"
"china protests stock market",2,"Breakout"
"protests erupt across china",1,"Breakout"
"why are there protests in china",1,"Breakout"
"urumqi fire",1,"Breakout"
"jiang zemin",1,"Breakout"
"covid china",33,"250%"
"twitter",16,"250%"
"twitter china protests",16,"200%"
"china protests apple",8,"190%"
"china protests wikipedia",5,"180%"
"china protests covid",33,"170%"
